ID товара,Наименование,Цена,Город,Промо цена,Ссылка
3608688,Батончик глазированный Snaq Fabriq кокос 40г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3608688/
3284515,Батончик Take a Bitey фруктово-ягодный яблоко-вишня 25г с 2лет,"64,90 ₽",Москва и Московская область,45 ₽,https://www.detmir.ru/product/index/id/3284515/
3284517,Батончик Take a Bitey овсяно-фруктовый яблоко-клубника 30г с 3лет,"64,90 ₽",Москва и Московская область,45 ₽,https://www.detmir.ru/product/index/id/3284517/
3286183,Печенье Bombbar овсяное ореховый микс 40г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286183/
3284516,Батончик Take a Bitey овсяно-фруктовый яблоко-банан 30г с 3лет,"64,90 ₽",Москва и Московская область,45 ₽,https://www.detmir.ru/product/index/id/3284516/
3284543,Снек Take a Bitey паффы мультизлаковые морковь 20г,"64,90 ₽",Москва и Московская область,"51,90 ₽",https://www.detmir.ru/product/index/id/3284543/
3618242,Батончик Take a Bitey фруктово-ягодный яблоко-банан 25гр с 2лет,"54,90 ₽",Москва и Московская область,"43,90 ₽",https://www.detmir.ru/product/index/id/3618242/
3618240,Батончик Take a Bitey фруктово-ягодный яблоко-груша 25гр с 2лет,"54,90 ₽",Москва и Московская область,"43,90 ₽",https://www.detmir.ru/product/index/id/3618240/
3618243,Батончик Take a Bitey овсяно-фруктовый черная смородина 30г с 3лет,"54,90 ₽",Москва и Московская область,"43,90 ₽",https://www.detmir.ru/product/index/id/3618243/
3284544,Снек Take a Bitey паффы мультизлаковые банан 20г,"64,90 ₽",Москва и Московская область,"51,90 ₽",https://www.detmir.ru/product/index/id/3284544/
3286047,Орехи Семушка кедровые 250г,779 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3286047/
3286827,Батончик Take a Bite Мята орехово-фруктовый мята 45г,"113,30 ₽",Москва и Московская область,"90,90 ₽",https://www.detmir.ru/product/index/id/3286827/
3286182,Печенье Bombbar овсяное ягодный микс 40г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286182/
3286184,Печенье Bombbar овсяное шоколад-мята 40г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286184/
3286041,Орехи Семушка кедровые 150г,519 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3286041/
3277207,Батончик R.A.W.LIFE орехово-фруктовый какао-мята 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277207/
3310319,Батончик Bombbar Кето со вкусом тропического кокоса и миндаля 40г,"94,90 ₽",Москва и Московская область,80 ₽,https://www.detmir.ru/product/index/id/3310319/
3608691,Батончик глазированный Snaq Fabriq манго-маракуйя 40г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3608691/
3277203,Батончик R.A.W.LIFE орехово-фруктовый кешью 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277203/
3618241,Батончик Take a Bitey фруктово-ягодный яблоко-малина 25гр с 2лет,"54,90 ₽",Москва и Московская область,"43,90 ₽",https://www.detmir.ru/product/index/id/3618241/
3422278,Батончик ОлЛайт яблочный с корицей 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422278/
3286839,Хлебцы Take a Bite хрустящие кукурузно-рисовые с луком 150г,"138,90 ₽",Москва и Московская область,125 ₽,https://www.detmir.ru/product/index/id/3286839/
3526370,Конфета R.A.W.LIFE Тирамису 18г,"44,90 ₽",Москва и Московская область,"35,90 ₽",https://www.detmir.ru/product/index/id/3526370/
3608689,Батончик глазированный Snaq Fabriq ананас 40г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3608689/
3430114,Батончик SIBERRYA Яркий злаковый 35г,"43,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3430114/
3286084,Батончик Леовит Фрутончик со злаками яблоко-курага-рис 20г,"47,90 ₽",Москва и Московская область,"23,90 ₽",https://www.detmir.ru/product/index/id/3286084/
3310320,Батончик Bombbar Кето со вкусом шоколадного парфе с миндалем 40г,"94,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3310320/
3286838,Хлебцы Take a Bite хрустящие гречневые 150г,"129,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286838/
3422269,Батончик ОлЛайт шоколадный с кокосом 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422269/
3422277,Батончик ОлЛайт апельсин-имбирь 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422277/
3277206,Батончик R.A.W.LIFE орехово-фруктовый макадамия 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277206/
